transaction_id,date,city,branch_id,account_no,amount,status
TXN293227,2025-05-08,Bangalore,BAN-1,ACC47109,4325.5,FAILED
TXN237936,2025-05-08,Bangalore,BAN-1,ACC10180,3332.54,SUCCESS
TXN677688,2025-05-08,Bangalore,BAN-1,ACC75172,8280.32,SUCCESS
TXN987310,2025-05-08,Bangalore,BAN-1,ACC71866,562.08,SUCCESS
TXN779180,2025-05-08,Bangalore,BAN-1,ACC26145,7859.97,SUCCESS
TXN278890,2025-05-08,Bangalore,BAN-1,ACC96462,2021.86,SUCCESS
TXN363146,2025-05-08,Bangalore,BAN-1,ACC26599,6337.39,SUCCESS
TXN370139,2025-05-08,Bangalore,BAN-1,ACC77518,665.82,FAILED
TXN792818,2025-05-08,Bangalore,BAN-1,ACC99505,6222.02,FAILED
TXN514916,2025-05-08,Bangalore,BAN-1,ACC98659,4022.1,SUCCESS
TXN890080,2025-05-08,Bangalore,BAN-1,ACC76497,6810.4,SUCCESS
TXN879872,2025-05-08,Bangalore,BAN-1,ACC98302,2759.21,SUCCESS
TXN672506,2025-05-08,Bangalore,BAN-1,ACC91538,7171.65,SUCCESS
TXN582882,2025-05-08,Bangalore,BAN-1,ACC10526,986.14,FAILED
TXN611234,2025-05-08,Bangalore,BAN-1,ACC29473,1052.73,SUCCESS
TXN209499,2025-05-08,Bangalore,BAN-1,ACC37017,8495.39,FAILED
TXN604668,2025-05-08,Bangalore,BAN-1,ACC30670,9179.17,SUCCESS
TXN561670,2025-05-08,Bangalore,BAN-1,ACC58541,6261.3,FAILED
TXN728882,2025-05-08,Bangalore,BAN-1,ACC95089,1063.1,PENDING
TXN603416,2025-05-08,Bangalore,BAN-1,ACC35786,2178.28,SUCCESS
TXN970426,2025-05-08,Bangalore,BAN-1,ACC19846,9934.12,SUCCESS
TXN272092,2025-05-08,Bangalore,BAN-1,ACC65027,5377.54,SUCCESS
TXN972810,2025-05-08,Bangalore,BAN-1,ACC92347,5420.17,SUCCESS
TXN622879,2025-05-08,Bangalore,BAN-1,ACC14706,839.19,SUCCESS
TXN789148,2025-05-08,Bangalore,BAN-1,ACC46097,1624.88,SUCCESS
TXN808608,2025-05-08,Bangalore,BAN-1,ACC28913,8831.26,SUCCESS
TXN967733,2025-05-08,Bangalore,BAN-1,ACC37262,4505.33,SUCCESS
TXN954130,2025-05-08,Bangalore,BAN-1,ACC84836,9059.41,SUCCESS
