transaction_id,date,city,branch_id,account_no,amount,status
TXN892485,2025-05-08,Delhi,DEL-3,ACC11467,6930.64,FAILED
TXN697644,2025-05-08,Delhi,DEL-3,ACC73135,5124.98,SUCCESS
TXN597240,2025-05-08,Delhi,DEL-3,ACC92888,5487.64,SUCCESS
TXN961139,2025-05-08,Delhi,DEL-3,ACC15365,506.04,SUCCESS
TXN850218,2025-05-08,Delhi,DEL-3,ACC47591,3635.59,SUCCESS
TXN470858,2025-05-08,Delhi,DEL-3,ACC46986,3552.61,SUCCESS
TXN126598,2025-05-08,Delhi,DEL-3,ACC70524,5794.27,SUCCESS
TXN891537,2025-05-08,Delhi,DEL-3,ACC90086,693.99,SUCCESS
TXN317387,2025-05-08,Delhi,DEL-3,ACC77929,2528.76,FAILED
TXN807204,2025-05-08,Delhi,DEL-3,ACC35960,8666.45,FAILED
TXN292957,2025-05-08,Delhi,DEL-3,ACC73666,6163.16,SUCCESS
TXN567255,2025-05-08,Delhi,DEL-3,ACC51434,6226.55,FAILED
TXN262264,2025-05-08,Delhi,DEL-3,ACC42774,4267.96,SUCCESS
TXN756831,2025-05-08,Delhi,DEL-3,ACC25665,2916.85,SUCCESS
TXN872820,2025-05-08,Delhi,DEL-3,ACC54999,2760.75,SUCCESS
TXN607884,2025-05-08,Delhi,DEL-3,ACC80664,323.22,SUCCESS
TXN468198,2025-05-08,Delhi,DEL-3,ACC40784,5434.36,FAILED
TXN402604,2025-05-08,Delhi,DEL-3,ACC52314,820.7,SUCCESS
TXN775770,2025-05-08,Delhi,DEL-3,ACC16942,5480.83,SUCCESS
TXN416083,2025-05-08,Delhi,DEL-3,ACC89010,4629.72,SUCCESS
TXN333814,2025-05-08,Delhi,DEL-3,ACC20677,6266.88,SUCCESS
TXN385434,2025-05-08,Delhi,DEL-3,ACC90350,3586.47,SUCCESS
TXN737509,2025-05-08,Delhi,DEL-3,ACC59237,7929.03,SUCCESS
TXN979011,2025-05-08,Delhi,DEL-3,ACC99684,1561.55,SUCCESS
TXN723142,2025-05-08,Delhi,DEL-3,ACC84470,2678.95,SUCCESS
TXN416996,2025-05-08,Delhi,DEL-3,ACC19228,3882.56,FAILED
TXN121951,2025-05-08,Delhi,DEL-3,ACC76704,6412.95,SUCCESS
TXN273279,2025-05-08,Delhi,DEL-3,ACC42247,7591.52,SUCCESS
TXN217332,2025-05-08,Delhi,DEL-3,ACC77514,4724.11,SUCCESS
TXN704848,2025-05-08,Delhi,DEL-3,ACC17855,1020.28,SUCCESS
TXN436538,2025-05-08,Delhi,DEL-3,ACC23791,5930.76,SUCCESS
TXN297758,2025-05-08,Delhi,DEL-3,ACC16809,5180.61,FAILED
TXN893139,2025-05-08,Delhi,DEL-3,ACC72833,7900.02,SUCCESS
TXN998797,2025-05-08,Delhi,DEL-3,ACC70577,5000.77,SUCCESS
TXN793954,2025-05-08,Delhi,DEL-3,ACC66042,3499.84,PENDING
TXN819588,2025-05-08,Delhi,DEL-3,ACC34242,712.44,SUCCESS
TXN718168,2025-05-08,Delhi,DEL-3,ACC86717,5274.42,PENDING
TXN884107,2025-05-08,Delhi,DEL-3,ACC72138,5615.15,SUCCESS
TXN828634,2025-05-08,Delhi,DEL-3,ACC14242,5354.7,SUCCESS
TXN224781,2025-05-08,Delhi,DEL-3,ACC49304,1422.88,SUCCESS
TXN127021,2025-05-08,Delhi,DEL-3,ACC49929,2954.05,SUCCESS
TXN682354,2025-05-08,Delhi,DEL-3,ACC68804,3226.4,SUCCESS
TXN622993,2025-05-08,Delhi,DEL-3,ACC82622,3797.69,SUCCESS
TXN682762,2025-05-08,Delhi,DEL-3,ACC85332,2146.65,SUCCESS
TXN812018,2025-05-08,Delhi,DEL-3,ACC75959,6349.13,SUCCESS
TXN296903,2025-05-08,Delhi,DEL-3,ACC61047,9248.58,SUCCESS
TXN916159,2025-05-08,Delhi,DEL-3,ACC46854,9186.37,SUCCESS
TXN280818,2025-05-08,Delhi,DEL-3,ACC46645,8186.26,SUCCESS
TXN940352,2025-05-08,Delhi,DEL-3,ACC71467,6927.2,SUCCESS
TXN562838,2025-05-08,Delhi,DEL-3,ACC71192,7357.36,SUCCESS
TXN437130,2025-05-08,Delhi,DEL-3,ACC91066,1869.24,SUCCESS
TXN802190,2025-05-08,Delhi,DEL-3,ACC76380,7306.6,SUCCESS
TXN823189,2025-05-08,Delhi,DEL-3,ACC29565,6508.15,SUCCESS
TXN680483,2025-05-08,Delhi,DEL-3,ACC40475,3764.09,SUCCESS
TXN792670,2025-05-08,Delhi,DEL-3,ACC60146,1512.41,SUCCESS
TXN883148,2025-05-08,Delhi,DEL-3,ACC28339,2244.43,SUCCESS
TXN750592,2025-05-08,Delhi,DEL-3,ACC96463,5424.97,SUCCESS
TXN493151,2025-05-08,Delhi,DEL-3,ACC26532,1733.87,SUCCESS
TXN215911,2025-05-08,Delhi,DEL-3,ACC71037,7059.09,SUCCESS
TXN709449,2025-05-08,Delhi,DEL-3,ACC37164,3844.03,FAILED
TXN833237,2025-05-08,Delhi,DEL-3,ACC53776,2179.58,SUCCESS
TXN459762,2025-05-08,Delhi,DEL-3,ACC11971,6347.56,SUCCESS
TXN727507,2025-05-08,Delhi,DEL-3,ACC68845,7322.76,SUCCESS
TXN957818,2025-05-08,Delhi,DEL-3,ACC99194,445.3,SUCCESS
