transaction_id,date,city,branch_id,account_no,amount,status
TXN952023,2025-05-08,Mumbai,MUM-4,ACC55285,6011.98,SUCCESS
TXN646809,2025-05-08,Mumbai,MUM-4,ACC93260,8893.29,SUCCESS
TXN786528,2025-05-08,Mumbai,MUM-4,ACC90217,2131.53,SUCCESS
TXN185042,2025-05-08,Mumbai,MUM-4,ACC41929,4598.42,SUCCESS
TXN341230,2025-05-08,Mumbai,MUM-4,ACC45561,225.12,SUCCESS
TXN299274,2025-05-08,Mumbai,MUM-4,ACC82369,4489.5,SUCCESS
TXN167275,2025-05-08,Mumbai,MUM-4,ACC75906,840.99,SUCCESS
TXN450809,2025-05-08,Mumbai,MUM-4,ACC84904,4364.88,PENDING
TXN841204,2025-05-08,Mumbai,MUM-4,ACC29501,5609.21,SUCCESS
TXN767108,2025-05-08,Mumbai,MUM-4,ACC39542,426.37,SUCCESS
TXN774507,2025-05-08,Mumbai,MUM-4,ACC81713,9110.54,SUCCESS
TXN381041,2025-05-08,Mumbai,MUM-4,ACC31837,3379.29,FAILED
TXN612357,2025-05-08,Mumbai,MUM-4,ACC34307,3318.65,SUCCESS
TXN782677,2025-05-08,Mumbai,MUM-4,ACC86255,2375.11,SUCCESS
TXN789784,2025-05-08,Mumbai,MUM-4,ACC43944,852.96,SUCCESS
TXN400498,2025-05-08,Mumbai,MUM-4,ACC22067,8486.32,FAILED
TXN372111,2025-05-08,Mumbai,MUM-4,ACC34405,4668.37,PENDING
TXN992418,2025-05-08,Mumbai,MUM-4,ACC83920,4483.72,FAILED
TXN407952,2025-05-08,Mumbai,MUM-4,ACC71407,9613.4,SUCCESS
TXN257790,2025-05-08,Mumbai,MUM-4,ACC54558,8975.1,SUCCESS
TXN676990,2025-05-08,Mumbai,MUM-4,ACC95830,8019.07,SUCCESS
TXN391656,2025-05-08,Mumbai,MUM-4,ACC66557,4229.03,SUCCESS
TXN559970,2025-05-08,Mumbai,MUM-4,ACC13761,4248.18,FAILED
TXN335999,2025-05-08,Mumbai,MUM-4,ACC67348,7634.24,SUCCESS
TXN704917,2025-05-08,Mumbai,MUM-4,ACC97537,1550.66,FAILED
TXN261544,2025-05-08,Mumbai,MUM-4,ACC98601,5231.81,SUCCESS
TXN202839,2025-05-08,Mumbai,MUM-4,ACC60419,402.01,SUCCESS
TXN731881,2025-05-08,Mumbai,MUM-4,ACC66320,6238.32,SUCCESS
TXN768472,2025-05-08,Mumbai,MUM-4,ACC41227,3146.04,SUCCESS
TXN224530,2025-05-08,Mumbai,MUM-4,ACC28887,8825.17,PENDING
TXN130672,2025-05-08,Mumbai,MUM-4,ACC91360,2993.3,SUCCESS
TXN668388,2025-05-08,Mumbai,MUM-4,ACC12011,4535.16,SUCCESS
TXN289140,2025-05-08,Mumbai,MUM-4,ACC75972,7284.43,SUCCESS
TXN725857,2025-05-08,Mumbai,MUM-4,ACC64228,8548.18,SUCCESS
TXN244432,2025-05-08,Mumbai,MUM-4,ACC57471,2096.45,SUCCESS
TXN271391,2025-05-08,Mumbai,MUM-4,ACC59974,9157.13,SUCCESS
TXN931848,2025-05-08,Mumbai,MUM-4,ACC50735,6483.23,SUCCESS
TXN505839,2025-05-08,Mumbai,MUM-4,ACC15024,4637.47,SUCCESS
TXN316365,2025-05-08,Mumbai,MUM-4,ACC19257,809.71,SUCCESS
TXN674830,2025-05-08,Mumbai,MUM-4,ACC98560,8736.75,SUCCESS
TXN486983,2025-05-08,Mumbai,MUM-4,ACC65667,1825.15,SUCCESS
TXN120647,2025-05-08,Mumbai,MUM-4,ACC15036,8994.95,SUCCESS
TXN927319,2025-05-08,Mumbai,MUM-4,ACC83917,526.19,SUCCESS
TXN944344,2025-05-08,Mumbai,MUM-4,ACC87117,4241.28,SUCCESS
TXN648545,2025-05-08,Mumbai,MUM-4,ACC95720,1508.47,SUCCESS
TXN874370,2025-05-08,Mumbai,MUM-4,ACC98917,7178.83,SUCCESS
TXN136484,2025-05-08,Mumbai,MUM-4,ACC90880,6615.33,SUCCESS
TXN959582,2025-05-08,Mumbai,MUM-4,ACC63180,7780.83,SUCCESS
TXN288053,2025-05-08,Mumbai,MUM-4,ACC75243,7984.5,FAILED
TXN861460,2025-05-08,Mumbai,MUM-4,ACC41972,5822.57,SUCCESS
TXN613460,2025-05-08,Mumbai,MUM-4,ACC35700,8551.81,SUCCESS
TXN519439,2025-05-08,Mumbai,MUM-4,ACC82384,3517.69,SUCCESS
TXN410313,2025-05-08,Mumbai,MUM-4,ACC46533,7132.75,SUCCESS
TXN540462,2025-05-08,Mumbai,MUM-4,ACC51431,9785.85,SUCCESS
TXN663196,2025-05-08,Mumbai,MUM-4,ACC66612,5846.12,SUCCESS
TXN421421,2025-05-08,Mumbai,MUM-4,ACC10396,134.89,FAILED
TXN900897,2025-05-08,Mumbai,MUM-4,ACC88652,2725.97,SUCCESS
TXN199754,2025-05-08,Mumbai,MUM-4,ACC49566,4513.97,SUCCESS
TXN209915,2025-05-08,Mumbai,MUM-4,ACC57851,5259.11,SUCCESS
TXN832387,2025-05-08,Mumbai,MUM-4,ACC41565,1819.84,SUCCESS
TXN224079,2025-05-08,Mumbai,MUM-4,ACC71392,3776.74,SUCCESS
TXN950916,2025-05-08,Mumbai,MUM-4,ACC41397,4528.36,FAILED
TXN589436,2025-05-08,Mumbai,MUM-4,ACC63305,5105.55,SUCCESS
TXN353407,2025-05-08,Mumbai,MUM-4,ACC40577,8872.29,SUCCESS
TXN335624,2025-05-08,Mumbai,MUM-4,ACC50024,1882.05,SUCCESS
TXN629653,2025-05-08,Mumbai,MUM-4,ACC69174,208.4,FAILED
TXN813410,2025-05-08,Mumbai,MUM-4,ACC96421,8025.12,SUCCESS
TXN324703,2025-05-08,Mumbai,MUM-4,ACC20979,8814.11,SUCCESS
TXN782795,2025-05-08,Mumbai,MUM-4,ACC26439,8807.12,SUCCESS
TXN215302,2025-05-08,Mumbai,MUM-4,ACC88780,1266.94,SUCCESS
TXN915125,2025-05-08,Mumbai,MUM-4,ACC90841,3005.72,SUCCESS
TXN327615,2025-05-08,Mumbai,MUM-4,ACC33672,8618.19,FAILED
TXN804420,2025-05-08,Mumbai,MUM-4,ACC97036,9808.17,SUCCESS
TXN588593,2025-05-08,Mumbai,MUM-4,ACC69576,6256.06,FAILED
